com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
231c2ff7-ee9f-4cf1-915a-648c8ba49db2.custom.json,,-0.26,2025-03-09 12:28:23.450,2024-08-21 17:22:39.197,36.09,100,J+ZRiIffUm,com.sec.android.app.shealth,231c2ff7-ee9f-4cf1-915a-648c8ba49db2,2024-08-21 00:00:00.000,,
7f77e79c-ae9f-4a86-bd02-580f2dcfb59a.custom.json,,-0.12,2025-03-09 12:28:23.490,2024-08-22 21:33:34.779,36.22,100,J+ZRiIffUm,com.sec.android.app.shealth,7f77e79c-ae9f-4a86-bd02-580f2dcfb59a,2024-08-23 00:00:00.000,,
bd81ab54-4fa8-4694-87ed-7d1de4c62581.custom.json,,0.2,2025-03-09 12:28:23.520,2024-08-23 22:05:43.848,36.54,100,J+ZRiIffUm,com.sec.android.app.shealth,bd81ab54-4fa8-4694-87ed-7d1de4c62581,2024-08-24 00:00:00.000,,
d3fbea21-cfa3-4e3b-a173-db1215e0e70d.custom.json,,0.19,2025-03-09 12:28:23.545,2024-08-25 00:47:34.476,36.53,100,J+ZRiIffUm,com.sec.android.app.shealth,d3fbea21-cfa3-4e3b-a173-db1215e0e70d,2024-08-25 00:00:00.000,,
a36797c3-ebf5-406e-b2bb-0269e8cf081d.custom.json,,-0.04,2025-03-09 12:28:23.572,2024-08-25 22:13:08.980,36.31,100,J+ZRiIffUm,com.sec.android.app.shealth,a36797c3-ebf5-406e-b2bb-0269e8cf081d,2024-08-26 00:00:00.000,,
74c79e8f-b32b-4209-8974-f14a27a00764.custom.json,,0.04,2025-03-09 12:28:23.603,2024-08-27 00:28:46.976,36.39,100,J+ZRiIffUm,com.sec.android.app.shealth,74c79e8f-b32b-4209-8974-f14a27a00764,2024-08-27 00:00:00.000,,
d73b5681-fa77-4f53-a326-a1de14e8c327.custom.json,,0.05,2025-03-09 12:28:23.630,2024-08-27 22:51:23.628,36.4,100,J+ZRiIffUm,com.sec.android.app.shealth,d73b5681-fa77-4f53-a326-a1de14e8c327,2024-08-28 00:00:00.000,,
41c5506e-cb52-4a1d-b252-f1162f6e7f2f.custom.json,,0.12,2025-03-09 12:28:23.654,2024-08-28 23:44:41.386,36.47,100,J+ZRiIffUm,com.sec.android.app.shealth,41c5506e-cb52-4a1d-b252-f1162f6e7f2f,2024-08-29 00:00:00.000,,
7daae100-6ff2-40b8-85e1-2daa017e8d1f.custom.json,,0.12,2025-03-09 12:28:23.682,2024-08-29 23:36:16.433,36.47,100,J+ZRiIffUm,com.sec.android.app.shealth,7daae100-6ff2-40b8-85e1-2daa017e8d1f,2024-08-30 00:00:00.000,,
714dc8e2-1450-44ec-b738-feeab3d6d179.custom.json,,-0.07,2024-08-30 22:40:20.799,2024-08-30 22:40:20.799,36.29,100,J+ZRiIffUm,com.sec.android.app.shealth,714dc8e2-1450-44ec-b738-feeab3d6d179,2024-08-31 00:00:00.000,,
cd2c0188-c948-4a22-af2b-091c07582eb0.custom.json,,-0.07,2025-03-09 12:28:23.715,2024-08-30 22:40:20.815,36.29,100,J+ZRiIffUm,com.sec.android.app.shealth,cd2c0188-c948-4a22-af2b-091c07582eb0,2024-08-31 00:00:00.000,,
2683fec7-8120-4617-aec2-cde25026c7d6.custom.json,,-0.18,2025-03-09 12:28:23.744,2024-09-01 00:23:34.089,36.18,100,J+ZRiIffUm,com.sec.android.app.shealth,2683fec7-8120-4617-aec2-cde25026c7d6,2024-09-01 00:00:00.000,,
ba9aec2a-7820-46d5-b26f-d48d03d2e2a1.custom.json,,-0.2,2025-03-09 12:28:23.772,2024-09-02 03:39:18.072,36.15,100,J+ZRiIffUm,com.sec.android.app.shealth,ba9aec2a-7820-46d5-b26f-d48d03d2e2a1,2024-09-02 00:00:00.000,,
